what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1396339889592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339889915
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1396339890035
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1396339890395
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1396339890438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339890724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339892742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339905101
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396339911384
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396339911400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339919146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339919236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339923986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339924100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339925674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339927853
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1396339928197
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396339928631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339931154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339931307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339931351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339932955
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1396339940522
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1396339941093
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1396339941321
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1396339941740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339942663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339944194
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396339950733
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396339950733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339954110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339977259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396339978672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340047326
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1396340057108
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340074092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340083849
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1396340084003
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1396340084069
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1396340084103
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1396340084115
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1396340084157
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1396340084196
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1396340084234
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1396340084275
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1396340084354
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1396340084359
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1396340084422
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1396340084556
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1396340084610
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1396340084704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340088995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340100459
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396340100737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396340100754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1396340101238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396340101636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1396340107488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1396340117385
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1396340123461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340124801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340126183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340126708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396340133708
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1396340136921
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396340139466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1396340147900
