what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013489594
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340013490731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013504508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013506932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013513467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013543278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013545228
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1340013567115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1340013610176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340013613288
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1340013614297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013615237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013615424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013615598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013615781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013615964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013616156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013616339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013616739
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1340013649893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013655489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013680651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013694794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013712472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013712654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013712828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013713002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013727997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013737148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013752574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013753107
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1340013764699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013775149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013829557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013842588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013850498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013878800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013883740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013887274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013949709
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013950814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013958275
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013979563
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1340013980017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340013981349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013983784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340013983954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340014015993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014017561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014041415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014042567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014043365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014071433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014071569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014076266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014076402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014089223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014300268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014318207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014327482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014333647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014333752
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1340014343460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340014351206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340014351602
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340014352244
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340014352313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014378551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014378624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014381356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340014389274
