what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299838537343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299838538765
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1299838540781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299838561718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299838907609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839241781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839242281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839242406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839242734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839244125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839244140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839245109
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1299839245312
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.ui,1299839246312
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.103.v200807232000,org.eclipse.jst.ws.axis2.consumption.core,1299839246312
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,org.eclipse.jst.ws.axis2.creation.ui,1299839246312
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,org.eclipse.jst.ws.axis2.consumption.ui,1299839246312
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.306.v200811200248,org.eclipse.jst.ws.axis.creation.ui,1299839246328
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.305.v200809301934,org.eclipse.jst.ws.axis.consumption.ui,1299839246328
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.103.v200807162242,org.eclipse.jst.ws.axis2.creation.core,1299839246328
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,org.eclipse.jst.ws.axis2.creation.core,1299839246328
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,org.eclipse.jst.ws.axis2.consumption.core,1299839246328
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.308.v200901212148,org.eclipse.jst.ws.creation.ui,1299839246328
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.4.v200901212148,org.eclipse.jst.ws.consumption.ui,1299839246328
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.201.v200811062130,org.eclipse.jst.j2ee.webservice.ui,1299839246328
