what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907683968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907684046
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1308907690500
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907717671
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907717671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907718453
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907784265
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907789984
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907789984
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907793046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907794890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907796593
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907796828
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907796828
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907799015
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907799078
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907799281
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907799281
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907801781
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907802718
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907803890
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308907803890
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1308907805453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907808656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308907816593
