what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562692765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562695812
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562697937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562698078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562699406
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1308562700265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562722156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562723093
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308562731656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562745390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562745406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562746671
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562746671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562746765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562748015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562750609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562781031
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1308562783890
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308562789453
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308562790640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308562791265
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308562792812
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1308562814375
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562817156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308562817562
