what,kind,bundleId,bundleVersion,description,time
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1308563176875
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308563178375
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563183765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563186234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563191109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563192062
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1308563195296
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308563196062
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1308563198109
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308563203625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563348015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563376281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308563433843
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308563454625
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1308563490484
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1308563521593
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1308563525687
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308563537125
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1308563542937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563545953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563547937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563548828
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563548953
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1308563554250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1308563564750
